Team,Players,2019,2018,2017,2016,2015,Player_Bowling_strength,,Team,AVERAGE of Player_Bowling_strength
Punjab,Chris Gayle,#N/A,#N/A,#N/A,170.7301587,135.3333333,#N/A,,,
Punjab,Darshan Nalkande,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Krishnappa Gowtham,141.4819277,179.2051282,#N/A,#N/A,#N/A,141.4819277,,,
Punjab,Hardus Viljoen,133.626943,#N/A,#N/A,#N/A,#N/A,133.626943,,,
Punjab,Harpreet Brar,109.1666667,#N/A,#N/A,#N/A,#N/A,109.1666667,,,
Punjab,Jagadeesha Suchith,148.8571429,#N/A,#N/A,#N/A,164.7407407,148.8571429,,,
Punjab,Karun Nair,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Mandeep Singh,78.92307692,#N/A,#N/A,#N/A,#N/A,78.92307692,,,
Punjab,Mayank Agarwal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Mohammad Shami,#N/A,112.6538462,138.0663812,133.2991744,#N/A,#N/A,,,
Punjab,Mujeeb Ur Rahman,121.5024876,198.2615165,#N/A,#N/A,#N/A,121.5024876,,,
Punjab,Murugan Ashwin,172.3333333,142.1003963,#N/A,153.6431953,#N/A,172.3333333,,,
Punjab,Nicholas Pooran,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Sarfaraz Khan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Glenn Maxwell,#N/A,142.2121212,178.2070015,121.6126126,115.0927835,#N/A,,,
Punjab,Sheldon Cottrell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Deepak Hooda,98.23809524,128,101.2380952,150.0482574,133.7470588,98.23809524,,,
Punjab,Ishan Porel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Ravi Bishnoi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Jimmy Neesham,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Chris Jordan,#N/A,133.0322581,113.1111111,147.577633,#N/A,#N/A,,,
Punjab,Tajinder Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Simran Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Dinesh Karthik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Andre Russell,#N/A,157.1098081,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Kamlesh Nagarkoti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Kuldeep Yadav,152.4734411,191.0501229,173.6272618,#N/A,#N/A,152.4734411,,,
Kolkata,Lockie Ferguson,111.936803,#N/A,155.8601399,#N/A,#N/A,111.936803,,,
Kolkata,Nitish Rana,122.1111111,150.3524544,#N/A,334.3333333,#N/A,122.1111111,,,
Kolkata,Prasidh Krishna,151.2663812,145.7586207,#N/A,#N/A,#N/A,151.2663812,,,
Kolkata,Rinku Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Sandeep Warrier,155.2429379,#N/A,#N/A,#N/A,#N/A,155.2429379,,,
Kolkata,Shivam Mavi,#N/A,136.7344398,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Shubman Gill,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Siddhesh Lad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Sunil Narine,182.0772379,#N/A,212.2664756,#N/A,175.7989056,182.0772379,,,
Kolkata,Eoin Morgan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Pat Cummins,#N/A,#N/A,#N/A,#N/A,114.0927835,#N/A,,,
Kolkata,Rahul Tripathi,#N/A,#N/A,84.33333333,#N/A,#N/A,#N/A,,,
Kolkata,Varun Chakravarthy,89.76329331,#N/A,#N/A,#N/A,#N/A,89.76329331,,,
Kolkata,M Siddharth,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Chris Green,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Tom Banton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Nikhil Naik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Ali Khan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Rohit Sharma,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Aditya Tare,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Anmolpreet Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Anukul Roy,184.8181818,#N/A,#N/A,#N/A,#N/A,184.8181818,,,
Mumbai,Dhawal Kulkarni,145.4932079,129.0966209,130.4324619,#N/A,174.4222503,145.4932079,,,
Mumbai,Hardik Pandya,165.3512541,#N/A,154.1001221,128.3324619,114.6183575,165.3512541,,,
Mumbai,Ishan Kishan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Jasprit Bumrah,#N/A,216.3488372,#N/A,195.2051282,99.56606852,#N/A,,,
Mumbai,Jayant Yadav,148.0560224,#N/A,148.8571429,155.0544218,250.5458937,148.0560224,,,
Mumbai,Kieron Pollard,#N/A,#N/A,#N/A,#N/A,120.9966209,#N/A,,,
Mumbai,Krunal Pandya,195.3626374,193.5427157,196.627566,169.2003963,#N/A,195.3626374,,,
Mumbai,Mitchell McClenaghan,147.9035533,174.4819277,179.6098081,#N/A,186.8026797,147.9035533,,,
Mumbai,Quinton de Kock,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Rahul Chahar,212.6717557,#N/A,129.7729469,#N/A,#N/A,212.6717557,,,
Mumbai,Sherfane Rutherford,123.3748552,#N/A,#N/A,#N/A,#N/A,123.3748552,,,
Mumbai,Suryakumar Yadav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Trent Boult,140.6861144,#N/A,138.8752759,107.5641026,155.7648456,140.6861144,,,
Mumbai,Chris Lynn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Nathan Coulter-Nile,#N/A,#N/A,167.5781095,149.5789474,#N/A,#N/A,,,
Mumbai,Saurabh Tiwary,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Mohsin Khan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Digvijay Deshmukh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Prince Balwant Rai Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,James Pattinson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Steve Smith,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Ankit Rajpoot,124.2631579,154.470892,148.8900524,#N/A,#N/A,124.2631579,,,
Rajasthan,Ben Stokes,111.6265597,167.2493888,195.275766,#N/A,#N/A,111.6265597,,,
Rajasthan,Jofra Archer,201.9289941,#N/A,#N/A,#N/A,#N/A,201.9289941,,,
Rajasthan,Jos Buttler,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Mahipal Lomror,#N/A,114.1111111,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Manan Vohra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Mayank Markande,108.7293998,178.6172249,#N/A,#N/A,#N/A,108.7293998,,,
Rajasthan,Rahul Tewatia,159.0295626,155.2264631,195.8235294,#N/A,100.8054211,159.0295626,,,
Rajasthan,Riyan Parag,131.7407407,#N/A,#N/A,#N/A,#N/A,131.7407407,,,
Rajasthan,Sanju Samson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Shashank Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Shreyas Gopal,#N/A,173.4060447,#N/A,169.6666667,97.35070688,#N/A,,,
Rajasthan,Varun Aaron,119.5196687,#N/A,149.6993865,129.6752868,118.1431929,119.5196687,,,
Rajasthan,Robin Uthappa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Jaydev Unadkat,141.0086304,164.826943,#N/A,#N/A,103,141.0086304,,,
Rajasthan,Yashasvi Jaiswal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Anuj Rawat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Akash Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Kartik Tyagi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,David Miller,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Oshane Thomas,141.5822785,#N/A,#N/A,#N/A,#N/A,141.5822785,,,
Rajasthan,Anirudha Joshi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Andrew Tye,119.4287063,#N/A,#N/A,#N/A,#N/A,119.4287063,,,
Rajasthan,Tom Curran,#N/A,102.3068966,#N/A,#N/A,#N/A,#N/A,,,
RCB,Virat Kohli,#N/A,#N/A,#N/A,#N/A,184.9862385,#N/A,,,
RCB,AB de Villiers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Devdutt Padikkal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Gurkeerat Mann Singh,#N/A,#N/A,#N/A,135.0322581,148.425648,#N/A,,,
RCB,Moeen Ali,178.9289941,151.9695652,#N/A,#N/A,#N/A,178.9289941,,,
RCB,Mohammed Siraj,139.8120419,163.7318436,141.577633,#N/A,#N/A,139.8120419,,,
RCB,Navdeep Saini,179.9189843,#N/A,#N/A,#N/A,#N/A,179.9189843,,,
RCB,Parthiv Patel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Pawan Negi,123.6290252,86.63265306,#N/A,117.1811361,155.047619,123.6290252,,,
RCB,Shivam Dube,209.7333333,#N/A,#N/A,#N/A,#N/A,209.7333333,,,
RCB,Umesh Yadav,147.5408163,#N/A,#N/A,#N/A,162.0110011,147.5408163,,,
RCB,Washington Sundar,134.6545012,128.1666667,200.3376623,#N/A,#N/A,134.6545012,,,
RCB,Yuzvendra Chahal,#N/A,199.7410468,188.0189542,#N/A,#N/A,#N/A,,,
RCB,Aaron Finch,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Chris Morris,153.8748652,114.9431929,172.1989664,#N/A,#N/A,153.8748652,,,
RCB,Josh Philippe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Pavan Deshpande,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Dale Steyn,128.0092807,#N/A,#N/A,119.6470588,133.8568233,128.0092807,,,
RCB,Shahbaz Ahamad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Isuru Udana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Adam Zampa,#N/A,#N/A,148.3026797,#N/A,#N/A,#N/A,,,
Hyderabad,David Warner,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Abhishek Sharma,98.23809524,#N/A,#N/A,#N/A,#N/A,98.23809524,,,
Hyderabad,Basil Thampi,121.1703057,104.306066,160.774078,#N/A,#N/A,121.1703057,,,
Hyderabad,Bhuvneshwar Kumar,200.0409731,185.6483029,#N/A,#N/A,#N/A,200.0409731,,,
Hyderabad,Billy Stanlake,#N/A,144.1527094,124.2857143,#N/A,#N/A,#N/A,,,
Hyderabad,Jonny Bairstow,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Kane Williamson,#N/A,#N/A,#N/A,143.8571429,#N/A,#N/A,,,
Hyderabad,Manish Pandey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Mohammad Nabi,187.4759398,112.3829787,202.7533207,#N/A,#N/A,187.4759398,,,
Hyderabad,Rashid Khan,236.2356688,#N/A,222.0574018,#N/A,#N/A,236.2356688,,,
Hyderabad,Sandeep Sharma,175.6121212,188.2751323,#N/A,#N/A,205.8571429,175.6121212,,,
Hyderabad,Shahbaz Nadeem,111,111.1966449,173.4250375,135.2033097,169.8664495,111,,,
Hyderabad,Shreevats Goswami,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Siddarth Kaul,144.6071429,207.7729469,170.3060642,#N/A,#N/A,144.6071429,,,
Hyderabad,Khaleel Ahmed,#N/A,81.98894155,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,T Natarajan,#N/A,#N/A,124.6535832,#N/A,#N/A,#N/A,,,
Hyderabad,Vijay Shankar,123.2857143,92.20689655,#N/A,#N/A,#N/A,123.2857143,,,
Hyderabad,Wriddhiman Saha,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Virat Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Priyam Garg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Mitchell Marsh,#N/A,#N/A,#N/A,213,#N/A,#N/A,,,
Hyderabad,Sandeep Bavanaka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Fabian Allen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Abdul Samad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Sanjay Yadav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
