Team,Players,2019,2018,2017,2016,2015,Player_Batting_strength,,Team,AVERAGE of Player_Batting_strength
Rajasthan,Mayank Markande,#N/A,31.2,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Rahul Tewatia,44.4,53.3,49.7,49.7,#N/A,47.0808,,,
Rajasthan,Riyan Parag,115.0,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Sanju Samson,211.0,257.5,#N/A,#N/A,133.2,224.9522,,,
Rajasthan,Shashank Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Shreyas Gopal,63.6,52.2,#N/A,#N/A,#N/A,60.1965,,,
Rajasthan,Varun Aaron,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Robin Uthappa,173.4,208.6,236.0,236.0,#N/A,183.964,,,
Rajasthan,Jaydev Unadkat,#N/A,54.0,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Yashasvi Jaiswal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Anuj Rawat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Akash Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Kartik Tyagi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,David Miller,140.5,71.2,70.5,70.5,#N/A,119.6892,,,
Rajasthan,Oshane Thomas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Anirudha Joshi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Andrew Tye,#N/A,34.4,69.8,69.8,#N/A,#N/A,,,
Rajasthan,Tom Curran,#N/A,30.2,#N/A,#N/A,#N/A,#N/A,,,
RCB,Virat Kohli,270.2,#N/A,187.7,187.7,292.4,#N/A,,,
RCB,AB de Villiers,265.1,290.9,142.6,142.6,#N/A,272.8141,,,
RCB,Devdutt Padikkal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Gurkeerat Mann Singh,86.8,#N/A,#N/A,#N/A,37.5,#N/A,,,
RCB,Moeen Ali,151.3,77.8,#N/A,#N/A,#N/A,129.2583,,,
RCB,Mohammed Siraj,#N/A,39.0,#N/A,#N/A,#N/A,#N/A,,,
RCB,Navdeep Saini,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Parthiv Patel,222.3,113.8,#N/A,#N/A,204.9,189.7538,,,
RCB,Pawan Negi,20.2,#N/A,103.3,103.3,94.1,#N/A,,,
RCB,Shivam Dube,48.2,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Umesh Yadav,36.3,#N/A,#N/A,#N/A,64.6,#N/A,,,
RCB,Washington Sundar,#N/A,73.2,#N/A,#N/A,#N/A,#N/A,,,
RCB,Yuzvendra Chahal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Aaron Finch,#N/A,98.8,190.2,190.2,28.9,#N/A,,,
RCB,Chris Morris,34.9,72.2,119.0,119.0,82.4,46.0817,,,
RCB,Josh Philippe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Pavan Deshpande,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Dale Steyn,#N/A,#N/A,#N/A,#N/A,46.8,#N/A,,,
RCB,Shahbaz Ahamad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Isuru Udana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
RCB,Adam Zampa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,David Warner,395.5,#N/A,366.3,366.3,325.3,#N/A,,,
Hyderabad,Abhishek Sharma,#N/A,88.6,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Basil Thampi,#N/A,#N/A,34.0,34.0,#N/A,#N/A,,,
Hyderabad,Bhuvneshwar Kumar,19.8,24.7,#N/A,#N/A,47.6,21.291,,,
Hyderabad,Billy Stanlake,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Jonny Bairstow,270.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Kane Williamson,108.7,#N/A,171.1,171.1,47.8,#N/A,,,
Hyderabad,Manish Pandey,211.1,172.8,238.6,238.6,143.1,199.5899,,,
Hyderabad,Mohammad Nabi,93.5,41.7,#N/A,#N/A,#N/A,77.967,,,
Hyderabad,Rashid Khan,48.6,71.1,#N/A,#N/A,#N/A,55.354,,,
Hyderabad,Sandeep Sharma,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Shahbaz Nadeem,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Shreevats Goswami,#N/A,57.2,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Siddarth Kaul,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Khaleel Ahmed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,T Natarajan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Vijay Shankar,153.4,150.5,92.6,92.6,#N/A,152.5325,,,
Hyderabad,Wriddhiman Saha,80.6,89.5,149.0,149.0,155.5,83.2769,,,
Hyderabad,Virat Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Priyam Garg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Mitchell Marsh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Sandeep Bavanaka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Fabian Allen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Abdul Samad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Hyderabad,Sanjay Yadav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
